framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,window_size,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,16384,96,2,128,0,1,float16,float16,0,176.02714029947916
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,16384,96,1,128,0,1,float16,float16,0,176.96563720703125
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,16384,96,4,128,0,1,float16,float16,0,178.0526123046875
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,16384,96,1,128,0,1,float16,float16,0,89.5810546875
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,16384,96,8,128,0,1,float16,float16,0,176.4459431966146
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,16384,96,2,128,0,1,float16,float16,0,89.94798787434895
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,16384,96,96,128,0,1,float16,float16,0,89.8693135579427
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,16384,96,96,128,0,1,float16,float16,0,176.3048095703125
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,16384,96,1,128,0,1,float16,float16,0,43.9552001953125
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,16384,96,4,128,0,1,float16,float16,0,88.8065694173177
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,16384,96,8,128,0,1,float16,float16,0,89.72202555338542
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,16384,96,96,128,0,1,float16,float16,0,45.11658732096354
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,16384,96,2,128,0,1,float16,float16,0,44.373504638671875
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,16384,96,4,128,0,1,float16,float16,0,44.66773478190104
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,16384,96,8,128,0,1,float16,float16,0,44.98739115397135
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,12288,96,1,128,0,1,float16,float16,0,100.48853556315105
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,12288,96,2,128,0,1,float16,float16,0,101.54359944661458
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,12288,96,4,128,0,1,float16,float16,0,101.63302612304688
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,12288,96,1,128,0,1,float16,float16,0,201.7264607747396
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,12288,96,1,128,0,1,float16,float16,0,50.80644226074219
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,12288,96,2,128,0,1,float16,float16,0,199.1052042643229
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,12288,96,8,128,0,1,float16,float16,0,100.53956095377605
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,12288,96,2,128,0,1,float16,float16,0,50.64362589518229
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,12288,96,4,128,0,1,float16,float16,0,202.20245361328125
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,12288,96,96,128,0,1,float16,float16,0,51.457194010416664
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,12288,96,8,128,0,1,float16,float16,0,199.48492431640625
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,12288,96,1,128,0,1,float16,float16,0,25.706153869628906
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,12288,96,4,128,0,1,float16,float16,0,50.88170878092448
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,12288,96,8,128,0,1,float16,float16,0,50.0848642985026
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,12288,96,2,128,0,1,float16,float16,0,25.798655192057293
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,12288,96,96,128,0,1,float16,float16,0,102.92002360026042
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,12288,96,4,128,0,1,float16,float16,0,25.916414896647137
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,12288,96,8,128,0,1,float16,float16,0,25.53412373860677
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,12288,96,96,128,0,1,float16,float16,0,25.71502939860026
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,10240,96,1,128,0,1,float16,float16,0,71.58408610026042
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,10240,96,2,128,0,1,float16,float16,0,70.4179178873698
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,10240,96,4,128,0,1,float16,float16,0,70.91729227701823
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,10240,96,1,128,0,1,float16,float16,0,141.68490600585938
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,10240,96,1,128,0,1,float16,float16,0,35.2170664469401
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,10240,96,2,128,0,1,float16,float16,0,142.22250366210938
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,10240,96,4,128,0,1,float16,float16,0,139.82190958658853
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,10240,96,8,128,0,1,float16,float16,0,71.72352091471355
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,10240,96,2,128,0,1,float16,float16,0,35.5956064860026
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,10240,96,8,128,0,1,float16,float16,0,141.8740030924479
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,10240,96,4,128,0,1,float16,float16,0,35.26263427734375
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,10240,96,96,128,0,1,float16,float16,0,35.611307779947914
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,10240,96,1,128,0,1,float16,float16,0,18.139989217122395
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,10240,96,8,128,0,1,float16,float16,0,35.87566884358724
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,10240,96,2,128,0,1,float16,float16,0,18.07786687215169
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,10240,96,4,128,0,1,float16,float16,0,18.197675069173176
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,10240,96,96,128,0,1,float16,float16,0,18.047658284505207
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,10240,96,8,128,0,1,float16,float16,0,18.034517923990887
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,10240,96,96,128,0,1,float16,float16,0,72.95624287923177
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,8192,96,1,128,0,1,float16,float16,0,91.01619466145833
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,8192,96,2,128,0,1,float16,float16,0,91.63075764973958
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,8192,96,4,128,0,1,float16,float16,0,92.69435628255208
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,8192,96,1,128,0,1,float16,float16,0,46.15270487467448
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,8192,96,8,128,0,1,float16,float16,0,91.2013651529948
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,8192,96,2,128,0,1,float16,float16,0,46.32268778483073
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,8192,96,96,128,0,1,float16,float16,0,46.687744140625
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,8192,96,4,128,0,1,float16,float16,0,45.10156758626302
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,8192,96,96,128,0,1,float16,float16,0,94.00712076822917
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,8192,96,8,128,0,1,float16,float16,0,46.261077880859375
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,8192,96,1,128,0,1,float16,float16,0,22.770347595214844
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,8192,96,96,128,0,1,float16,float16,0,23.25401560465495
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,8192,96,2,128,0,1,float16,float16,0,23.172266642252605
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,8192,96,4,128,0,1,float16,float16,0,23.239168802897137
