framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,window_size,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,64,1,64,64,128,0,1,float16,float16,15,0.09403733412424724
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,64,1,64,64,128,0,1,float16,float16,7,0.07492266595363617
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,64,1,64,64,128,0,1,float16,float16,63,0.10598400235176086
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,64,1,64,64,128,0,1,float16,float16,127,0.1389226714769999
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,64,1,64,64,128,0,1,float16,float16,31,0.10188800096511841
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,64,1,64,64,128,0,1,float16,float16,255,0.2300586700439453
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,64,1,64,64,128,0,1,float16,float16,511,0.6275413433710734
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,64,1,64,64,128,0,1,float16,float16,1023,1.235968033472697
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,1,0.017237332959969837
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,64,1,64,64,128,0,1,float16,float16,2047,2.4401920636494956
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,3,0.017407999684413273
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,7,0.01757866640885671
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,15,0.017749333133300144
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,127,0.02065066620707512
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,31,0.020309332758188248
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,63,0.020309332758188248
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,255,0.0240639994541804
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,1023,0.09693866968154907
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,511,0.036864000062147774
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,2047,0.17612799008687338
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,4095,0.35123201211293537
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,8191,0.6925653616587321
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,4,1,64,64,128,0,1,float16,float16,16383,1.4187520345052083
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,128,1,64,64,128,0,1,float16,float16,1,0.13431466619173685
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,128,1,64,64,128,0,1,float16,float16,3,0.13943466544151306
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,128,1,64,64,128,0,1,float16,float16,7,0.15035733580589294
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,128,1,64,64,128,0,1,float16,float16,15,0.19285333156585693
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,128,1,64,64,128,0,1,float16,float16,31,0.19694934288660684
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,128,1,64,64,128,0,1,float16,float16,127,0.2635093331336975
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,128,1,64,64,128,0,1,float16,float16,63,0.20309333006540933
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,128,1,64,64,128,0,1,float16,float16,255,0.4379306634267171
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,128,1,64,64,128,0,1,float16,float16,511,1.2467199961344402
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,generation_attention,torch_flow,128,1,64,64,128,0,1,float16,float16,1023,2.4581119219462075
