framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,65536,0.01444
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,131072,0.01471
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,262144,0.01724
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,524288,0.02279
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,1048576,0.028620000000000003
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,2097152,0.03819
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,4194304,0.056049999999999996
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,8388608,0.09831000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,16777216,0.1365
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,33554432,0.243
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,67108864,0.44560000000000005
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,134217728,0.8445
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,half,2,268435456,1.6353
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,512,0.01055
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,1024,0.01077
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,2048,0.01086
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,4096,0.01077
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,8192,0.011890000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,16384,0.01244
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,32768,0.014029999999999999
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,65536,0.014
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,131072,0.01445
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,262144,0.014740000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,524288,0.01738
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,1048576,0.02279
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,2097152,0.029
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,4194304,0.03823
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,8388608,0.05541
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,16777216,0.09787000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,33554432,0.1365
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,67108864,0.24380000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,134217728,0.448
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,268435456,0.8428
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,alltoall,NCCL,int8,2,536870912,1.6379000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,256,0.0089
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,512,0.00904
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,1024,0.00903
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,2048,0.00941
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,4096,0.009880000000000002
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,8192,0.01123
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,16384,0.01154
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,32768,0.01175
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,65536,0.011970000000000001
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,131072,0.01302
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,262144,0.01523
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,524288,0.0194
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,1048576,0.03487
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,2097152,0.04125
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,4194304,0.0531
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,8388608,0.08227
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,16777216,0.1347
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,33554432,0.2303
TRTLLM,2.27.3,NVIDIA A100-SXM4-80GB,reduce_scatter,NCCL,half,2,67108864,0.4337
