framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,64,1,1,1,15,0.015530666957298914
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,32,1,1,2,15,0.015360000232855478
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,8,1,1,8,15,0.015018666783968607
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,4,1,1,16,15,0.014848000059525171
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,16,1,1,4,15,0.014848000059525171
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,64,1,1,1,15,0.01570133368174235
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,2,1,1,32,15,0.0145066666106383
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,32,1,1,2,15,0.015360000232855478
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,1,1,1,64,15,0.014677333335081736
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,16,1,1,4,15,0.015189333508412043
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,8,1,1,8,15,0.015018666783968607
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,4,1,1,16,15,0.014677333335081736
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,1,1,1,64,15,0.014848000059525171
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,2,1,1,32,15,0.0145066666106383
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,64,1,1,1,31,0.01570133368174235
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,16,1,1,4,31,0.015018666783968607
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,4,1,1,16,31,0.014848000059525171
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,32,1,1,2,31,0.015360000232855478
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,8,1,1,8,31,0.014848000059525171
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,2,1,1,32,31,0.0145066666106383
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,1,1,1,64,31,0.014848000059525171
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,32,1,1,2,31,0.015360000232855478
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,64,1,1,1,31,0.01570133368174235
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,8,1,1,8,31,0.014848000059525171
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,16,1,1,4,31,0.015018666783968607
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,4,1,1,16,31,0.014677333335081736
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,1,1,1,64,31,0.014677333335081736
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,2,1,1,32,31,0.014677333335081736
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,32,1,1,2,63,0.015189333508412043
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,16,1,1,4,63,0.015018666783968607
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,8,1,1,8,63,0.014848000059525171
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,64,1,1,1,63,0.01570133368174235
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,4,1,1,16,63,0.014677333335081736
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,2,1,1,32,63,0.014677333335081736
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,1,1,1,64,63,0.014677333335081736
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,32,1,1,2,63,0.015189333508412043
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,64,1,1,1,63,0.01570133368174235
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,16,1,1,4,63,0.015018666783968607
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,4,1,1,16,63,0.014848000059525171
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,8,1,1,8,63,0.015018666783968607
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,1,1,1,64,63,0.014677333335081736
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,2,1,1,32,63,0.014848000059525171
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,32,1,1,2,127,0.02252800017595291
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,64,1,1,1,127,0.023210667073726654
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,16,1,1,4,127,0.02252800017595291
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,8,1,1,8,127,0.02252800017595291
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,2,1,1,32,127,0.02218666672706604
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,1,1,1,64,127,0.02218666672706604
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,4,1,1,16,127,0.022357332209746044
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,64,1,1,1,127,0.023039999107519787
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,16,1,1,4,127,0.022698665658632915
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,32,1,1,2,127,0.02252800017595291
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,8,1,1,8,127,0.02252800017595291
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,4,1,1,16,127,0.02218666672706604
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,2,1,1,32,127,0.02218666672706604
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,1,1,1,64,127,0.02218666672706604
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,32,1,1,2,255,0.03737599899371465
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,8,1,1,8,255,0.037205333511034645
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,64,1,1,1,255,0.038058665891488395
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,16,1,1,4,255,0.037205333511034645
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,4,1,1,16,255,0.03703466554482778
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,1,1,1,64,255,0.03703466554482778
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,fp8,2,1,1,32,255,0.036864000062147774
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,64,1,1,1,255,0.03788800040880839
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,32,1,1,2,255,0.03754666695992152
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,8,1,1,8,255,0.037205333511034645
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_generation,default,float16,float16,4,1,1,16,255,0.03703466554482778
