framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,64,0.011366400122642516
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,32,0.010342399775981902
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,16,0.007475200295448303
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,8,0.006246399879455566
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,2,0.006553599983453751
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,1,0.006656000018119812
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,4,0.007065600156784058
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,64,128,0.017100800573825837
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,64,64,0.011468800157308579
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,64,32,0.010649599879980088
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,64,8,0.006348799914121628
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,64,16,0.007577600330114365
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,64,4,0.006860800087451935
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,64,2,0.006656000018119812
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,80,128,0.022835199534893037
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,80,64,0.016076800227165223
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,80,32,0.013312000036239623
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,64,1,0.007065600156784058
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,80,16,0.009216000139713288
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,80,8,0.006758400052785873
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,80,4,0.006553599983453751
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,80,2,0.006553599983453751
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,80,1,0.006758400052785873
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,96,128,0.023654399812221526
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,96,64,0.016179199516773223
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,96,16,0.009216000139713288
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,96,8,0.006758400052785873
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,96,4,0.006553599983453751
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,96,32,0.013516800105571746
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,96,2,0.006553599983453751
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,96,1,0.006860800087451935
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,128,128,0.03041279911994934
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,128,64,0.017407999932765962
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,128,32,0.016383999586105348
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,128,16,0.010649599879980088
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,128,8,0.007577600330114365
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,128,2,0.006656000018119812
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,128,1,0.006963200122117996
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,160,128,0.0506879985332489
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,128,4,0.006656000018119812
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,160,64,0.022732800245285033
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,160,32,0.015872000157833098
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,160,16,0.011673600226640702
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,160,8,0.008089599758386612
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,160,2,0.006860800087451935
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,160,4,0.006656000018119812
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,160,1,0.006246399879455566
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,192,128,0.05355520248413086
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,192,64,0.023449599742889404
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,192,32,0.015974399447441102
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,192,16,0.011878400295972823
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,192,4,0.006963200122117996
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,192,8,0.009318400174379349
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,192,2,0.006758400052785873
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,192,1,0.006451199948787689
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,256,32,0.016383999586105348
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,256,64,0.02396160066127777
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,256,8,0.010751999914646149
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,256,16,0.011878400295972823
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,256,4,0.007475200295448303
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,256,2,0.006656000018119812
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,256,128,0.05826560258865356
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,256,1,0.006246399879455566
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,320,64,0.03430399894714355
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,320,128,0.0894976019859314
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,320,32,0.019251200556755065
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,320,16,0.012185599654912949
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,320,8,0.012083200365304947
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,320,1,0.006143999844789505
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,320,4,0.008191999793052674
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,320,2,0.007168000191450119
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,384,64,0.03819519877433777
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,384,128,0.09379839897155762
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,384,32,0.01935359984636307
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,384,4,0.00942080020904541
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,384,16,0.012185599654912949
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,384,8,0.013516800105571746
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,384,2,0.006860800087451935
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,384,1,0.006656000018119812
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,512,64,0.048332801461219786
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,512,128,0.10362880229949951
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,512,32,0.023654399812221526
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,512,16,0.016281600296497344
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,512,8,0.016281600296497344
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,512,4,0.010547199845314026
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,512,2,0.007680000364780426
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,768,128,0.14960639476776122
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,768,64,0.06901760101318359
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,768,32,0.034815999865531924
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,768,16,0.01945600062608719
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,768,8,0.01372160017490387
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,768,4,0.008703999966382981
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,768,2,0.007065600156784058
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,512,1,0.007065600156784058
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,768,1,0.006656000018119812
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1024,64,0.08734719753265381
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1024,128,0.19179519414901733
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1024,32,0.045158401131629944
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1024,16,0.023756800591945647
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1024,8,0.017407999932765962
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1024,4,0.011878400295972823
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1024,2,0.008601599931716919
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1024,1,0.006348799914121628
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1536,128,0.2861056089401245
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1536,32,0.06594560146331788
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1536,64,0.12421120405197143
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1536,16,0.03338240087032318
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1536,8,0.02242559939622879
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1536,4,0.013926400244235993
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1536,1,0.006758400052785873
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2048,128,0.3749887943267822
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2048,64,0.1614848017692566
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1536,2,0.009625600278377533
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2048,32,0.08488960266113281
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2048,16,0.04352000057697296
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2048,8,0.027647998929023743
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2048,4,0.017612800002098083
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2048,2,0.011776000261306763
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2048,1,0.008089599758386612
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,3072,128,0.5576704025268555
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,3072,32,0.12277760505676269
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,3072,16,0.06512640118598938
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,3072,4,0.022732800245285033
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,3072,8,0.040243199467658995
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,3072,2,0.013823999464511872
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,3072,1,0.008908800035715102
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4096,128,0.7392255783081054
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,3072,64,0.23797760009765626
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4096,64,0.31027200222015383
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4096,32,0.1602560043334961
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4096,16,0.08550400137901307
