framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,window_size,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,16384,96,4,64,0,1,float16,float16,0,52.02790323893229
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,16384,96,8,64,0,1,float16,float16,0,51.89444478352865
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,1,16384,96,96,64,0,1,float16,float16,0,26.63389841715495
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,12288,96,1,64,0,1,float16,float16,0,58.97130839029948
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,12288,96,2,64,0,1,float16,float16,0,58.97711181640625
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,4,12288,96,4,64,0,1,float16,float16,0,58.99622599283854
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,12288,96,1,64,0,1,float16,float16,0,117.57823689778645
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,12288,96,1,64,0,1,float16,float16,0,29.740203857421875
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,12288,96,2,64,0,1,float16,float16,0,118.17933146158855
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,12288,96,4,64,0,1,float16,float16,0,118.1323954264323
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,8,12288,96,8,64,0,1,float16,float16,0,118.24622599283855
TRTLLM,1.0.0,NVIDIA A100-SXM4-80GB,context_attention,torch_flow,2,12288,96,2,64,0,1,float16,float16,0,29.7533442179362
